idx,type,question,answer_baseline,score_baseline,answer_standard,score_standard,corrected_standard
10,factual,Qual é o código da categoria econômica relacionada às despesas correntes de pessoal e encargos sociais?,"O código da categoria econômica para despesas correntes é **3**, e a natureza de despesa específica para pessoal e encargos sociais inicia-se com o código **3.1**.",2,"<error: CUDA out of memory. Tried to allocate 210.00 MiB. GPU 0 has a total capacity of 22.03 GiB of which 91.06 MiB is free. Including non-PyTorch memory, this process has 21.94 GiB memory in use. Of the allocated memory 21.18 GiB is allocated by PyTorch, and 548.64 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)>",0,False
11,factual,Qual é o nome do Presidente do Instituto de Previdência dos Servidores do Município de Teresina - IPMT?,O atual presidente do Instituto de Previdência dos Servidores do Município de Teresina (IPMT) é **Luiz Alberto de Oliveira**.,0,O nome do Presidente do Instituto de Previdência dos Servidores do Município de Teresina - IPMT é José João de Magalhães Braga Júnior.,5,False
12,factual,Qual o valor da remuneração OE para o cargo 1.621.0?,"Para fornecer o valor exato da remuneração OE para o cargo 1.621.0, é necessário saber a qual **empresa, órgão público ou tabela salarial** você se refere, pois esses códigos de cargo são específicos de cada instituição.",0,"<error: CUDA out of memory. Tried to allocate 212.00 MiB. GPU 0 has a total capacity of 22.03 GiB of which 53.06 MiB is free. Including non-PyTorch memory, this process has 21.97 GiB memory in use. Of the allocated memory 21.17 GiB is allocated by PyTorch, and 590.36 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)>",0,False
13,factual,"Qual o valor da despesa com 'CONSTRUÇÃO, AMPLIAÇÃO E REFORMA DA EDUCAÇÃO' no exercício de 2026?","Para responder a essa pergunta, é necessário que você forneça o documento, a tabela ou o orçamento específico (como a LOA - Lei Orçamentária Anual) ao qual você se refere, pois esses valores variam de acordo com cada ente federativo (União, Estado ou Município) e plano plurianual.",0,"<error: CUDA out of memory. Tried to allocate 134.00 MiB. GPU 0 has a total capacity of 22.03 GiB of which 17.06 MiB is free. Including non-PyTorch memory, this process has 22.01 GiB memory in use. Of the allocated memory 21.30 GiB is allocated by PyTorch, and 491.59 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)>",0,False
14,factual,Qual o valor total do item 2 do trecho?,"Você não forneceu o trecho ou o documento mencionado. Por favor, envie o texto para que eu possa identificar o valor do item 2.",0,"<error: CUDA out of memory. Tried to allocate 222.00 MiB. GPU 0 has a total capacity of 22.03 GiB of which 117.06 MiB is free. Including non-PyTorch memory, this process has 21.91 GiB memory in use. Of the allocated memory 20.91 GiB is allocated by PyTorch, and 791.19 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)>",0,False
15,factual,Qual é o valor da subfunção 271 Previdência IIaica em 2028?,"Não é possível fornecer esse valor, pois orçamentos públicos para 2028 ainda não foram definidos ou publicados. Os valores de subfunções orçamentárias são estabelecidos anualmente através da Lei Orçamentária Anual (LOA) e previstos na Lei de Diretrizes Orçamentárias (LDO).",2,"<error: CUDA out of memory. Tried to allocate 218.00 MiB. GPU 0 has a total capacity of 22.03 GiB of which 83.06 MiB is free. Including non-PyTorch memory, this process has 21.95 GiB memory in use. Of the allocated memory 21.26 GiB is allocated by PyTorch, and 466.50 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)>",0,False
16,factual,Qual o CNPJ da PM de Boqueirão do Piauí?,"Não há um CNPJ específico para a Polícia Militar (PM) de Boqueirão do Piauí, pois a PM é um órgão do Estado. As unidades locais são subordinadas ao **Governo do Estado do Piauí**.

Para questões administrativas ou fiscais, utiliza-se geralmente o CNPJ da Secretaria de Segurança Pública ou do Comando Geral da PM do Piauí.",2,"<error: CUDA out of memory. Tried to allocate 188.00 MiB. GPU 0 has a total capacity of 22.03 GiB of which 187.06 MiB is free. Including non-PyTorch memory, this process has 21.84 GiB memory in use. Of the allocated memory 21.13 GiB is allocated by PyTorch, and 501.58 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)>",0,False
17,factual,Qual o valor final do fornecedor ADRIANO R SOARES LTOA no bloco 0005?,"Para responder a essa pergunta, é necessário que você forneça o arquivo ou os dados do bloco 0005, pois não tenho acesso a documentos externos ou bancos de dados privados de faturamento.",0,"O valor final do fornecedor ADRIANO R SOARES LTOA no bloco 0005 (Bloco de natureza de Imposto) é 11,12.",5,False
18,multihop,Qual é a secretaria responsável pela gestão de finanças do Fundo Municipal de Saúde?,A secretaria responsável pela gestão financeira do Fundo Municipal de Saúde é a **Secretaria Municipal de Saúde**.,0,Não há informação suficiente no contexto fornecido para responder a essa pergunta.,0,False
19,multihop,Qual documento foi aberto pelo secretário municipal de planejamento e coordenação após a delegação recebida pelo prefeito municipal de Teresina?,"O documento aberto foi o **Edital de Chamamento Público**, destinado à seleção de entidades para a execução de parcerias.",0,"O Secretário Municipal de Planejamento e Coordenação abriu Créditos Suplementares no Orçamento-Programa vigente por meio dos seguintes documentos:

*   **Portaria nº 790**, de 12 de dezembro de 2025, no valor de R$ 1.103.110,00.
*   **Portaria nº 242**, de 03 de julho de 2025, no valor de R$ 30.000,00.
*   **Portaria nº 143**, de 19 de maio de 2025, no valor de R$ 300.000,00.",5,False
20,multihop,Qual é a secretaria municipal de educação que recebeu a comunicação sobre a portaria emitida pelo Pajeu do Piauí?,A secretaria municipal de educação que recebeu a comunicação foi a de **São José do Piauí**.,2,"Não há informação suficiente no contexto fornecido para responder a essa pergunta. O texto menciona portarias da Prefeitura Municipal de Pajeu do Piauí relacionadas às secretarias de Transportes e Trânsito, Assistência Social e Cidadania, e de Planejamento e Administração, mas não cita comunicação com uma secretaria municipal de educação.",5,False
21,multihop,Quem foi nomeado pelo órgão que pertence à Prefeitura Municipal de Pajeu do Piauí e é responsável pela Assistência Social e Cidadania?,"Com base nas informações disponíveis, a Secretária de Assistência Social e Cidadania de Pajeú do Piauí é **Maria do Socorro de Oliveira**.",0,Izabel Antunes dos Santos foi nomeada Chefe de Divisão de Almoxarifado e Patrimônio da Secretaria Municipal de Assistência Social e Cidadania (Portaria n. 107/2025).,2,False
22,multihop,Qual secretaria municipal possui a Secretaria Municipal de Assistência Social e Cidadania?,"A Secretaria Municipal de Assistência Social e Cidadania é, por si só, uma **secretaria municipal**. Ela não ""pertence"" a outra secretaria, mas sim à estrutura administrativa da **Prefeitura Municipal**.",0,Não há informação suficiente no contexto fornecido para responder a essa pergunta.,5,False
23,multihop,Qual secretaria pertence ao poder executivo e está relacionada à secretaria de infra-estrutura e serviços urbanos por meio de um relacionamento de posse?,"A pergunta refere-se a uma estrutura de modelagem de dados ou organograma específico de um ente governamental (como uma prefeitura). Em termos gerais de administração pública, a secretaria que detém a ""posse"" ou a subordinação hierárquica da Secretaria de Infraestrutura e Serviços Urbanos costuma ser a **Secretaria de Governo** ou a **Secretaria de Administração**, dependendo da legislação local.

No entanto, se esta pergunta for baseada em um **estudo de caso, banco de dados ou exercício específico**, a resposta correta será a entidade definida no diagrama de classes ou esquema de banco de dados fornecido no seu material de estudo.",2,"Com base no contexto fornecido, a secretaria que pertence ao Poder Executivo da Prefeitura Municipal de Corrente é a Secretaria Municipal de Infraestrutura. Não há menção a uma ""secretaria de infra-estrutura e serviços urbanos"" ou a um ""relacionamento de posse"" no texto.",0,False
24,multihop,Quem foi a última pessoa a receber uma nomeação da Prefeitura Municipal de Flores do Piauí?,"Não há informações disponíveis em bases de dados públicas ou registros recentes sobre a última pessoa nomeada pela Prefeitura Municipal de Flores do Piauí. Para obter esse dado, é necessário consultar o Diário Oficial do município ou o Portal da Transparência da prefeitura.",2,Não há informação suficiente no contexto fornecido sobre nomeações da Prefeitura Municipal de Flores do Piauí. O texto menciona apenas a concessão de licença para a servidora Juscivania dos Santos e Silva.,3,False
25,multihop,Quem foi nomeado pela Secretaria Municipal de Administracao e Planejamento de Sao Braz do Piauí para a Brigada Civil de Combate a Incendios do Município de Ribeiro Goncalves?,Não há informações disponíveis em bases de dados públicas ou registros oficiais recentes sobre a nomeação de pessoas específicas da Secretaria de Administração de São Braz do Piauí para a Brigada Civil de Ribeiro Gonçalves.,2,"Foram nomeados:
* ADRIANO DA ROCHA E SOUSA (Chefe de Brigada)
* JOAO RAIMUNDO DE SOUSA CRUZ (Brigadista)",5,False
26,multihop,Qual é a entidade que possui diretamente o FUNDO MUNICIPAL DE SAÚDE através de uma relação de pertencimento?,"A entidade que possui diretamente o Fundo Municipal de Saúde é a **Prefeitura Municipal** (ou Município), sendo o fundo uma unidade orçamentária vinculada à Secretaria Municipal de Saúde.",2,"<error: CUDA out of memory. Tried to allocate 188.00 MiB. GPU 0 has a total capacity of 22.03 GiB of which 187.06 MiB is free. Including non-PyTorch memory, this process has 21.84 GiB memory in use. Of the allocated memory 21.13 GiB is allocated by PyTorch, and 503.39 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)>",0,False
27,multihop,Qual é a secretaria responsável pela gestão das finanças do Fundo Municipal de Assistência Social?,"A secretaria responsável pela gestão das finanças do Fundo Municipal de Assistência Social (FMAS) é a **Secretaria Municipal de Assistência Social** (ou pasta equivalente, como Secretaria de Desenvolvimento Social).",2,Não há informação suficiente no contexto fornecido para determinar qual secretaria é responsável pela gestão das finanças especificamente do Fundo Municipal de Assistência Social.,2,False
28,multihop,Quem é o secretário municipal de planejamento e coordenação de Teresina?,O atual secretário municipal de Planejamento e Coordenação de Teresina é **Luiz Alberto de Oliveira**.,2,O Secretário Municipal de Planejamento e Coordenação é Marco Antônio Ayres Corrêa Lima.,4,False
29,multihop,Qual é o documento que o Decreto Municipal nº 27.897 delega ao SECRETÁRIO MUNICIPAL DE PLANEJAMENTO E COORDENAÇÃO para abrir?,O Decreto Municipal nº 27.897 delega ao Secretário Municipal de Planejamento e Coordenação a competência para abrir o **processo administrativo de licitação**.,2,"O Decreto Municipal nº 27.897, de 01 de abril de 2025, dispõe sobre a delegação ao Secretário Municipal de Planejamento e Coordenação da competência para promover as alterações orçamentárias autorizadas na Lei Orçamentária de 2025, por meio de ato próprio.",0,False
