idx,type,question,answer_baseline,score_baseline,answer_standard,score_standard,corrected_standard,answer_agentic_graph,score_agentic_graph,corrected_agentic_graph
10,factual,Qual é o código da categoria econômica relacionada às despesas correntes de pessoal e encargos sociais?,O código da categoria econômica relacionada às despesas correntes de pessoal e encargos sociais é **3.1.1**.,0,O código da categoria econômica relacionada às despesas correntes de pessoal e encargos sociais é **3.1.00.00**.,0,False,O código da categoria econômica relacionada às despesas correntes de pessoal e encargos sociais é **3.1.00.00**.,0,False
11,factual,Qual é o nome do Presidente do Instituto de Previdência dos Servidores do Município de Teresina - IPMT?,O nome do Presidente do Instituto de Previdência dos Servidores do Município de Teresina (IPMT) é **José Carlos de Oliveira**.,0,José João de Magalhães Braga Júnior,5,False,José João de Magalhães Braga Júnior,5,False
12,factual,Qual o valor da remuneração OE para o cargo 1.621.0?,"O valor da remuneração do OE (Ocupação Especial) para o cargo 1.621.0 (Técnico em Informação e Documentação) é de R$ 3.845,00.",0,"O valor da remuneração OE para o cargo 1.621.0 é 2.000,00.",5,False,"O valor da remuneração OE para o cargo 1.621.0 é 2.000,00.",5,False
13,factual,"Qual o valor da despesa com 'CONSTRUÇÃO, AMPLIAÇÃO E REFORMA DA EDUCAÇÃO' no exercício de 2026?","Não há informações disponíveis sobre o valor da despesa com ""CONSTRUÇÃO, AMPLIAÇÃO E REFORMA DA EDUCAÇÃO"" no exercício de 2026, pois o orçamento para esse ano ainda não foi aprovado ou divulgado oficialmente.",3,"O valor da despesa com ""CONSTRUÇÃO, AMPLIAÇÃO E REFORMA DA EDUCAÇÃO"" no exercício de 2026 é de **20.000,00**.",0,False,"O valor da despesa com ""CONSTRUÇÃO, AMPLIAÇÃO E REFORMA DA EDUCAÇÃO"" no exercício de 2026 é de **20.000,00**.",0,False
14,factual,Qual o valor total do item 2 do trecho?,"O valor total do item 2 do trecho é R$ 1.200,00.",0,O valor total do item 2 do trecho não pode ser determinado com base nas informações fornecidas.,0,False,"O valor total do item 2 é 1.500,00.",0,True
15,factual,Qual é o valor da subfunção 271 Previdência IIaica em 2028?,"Não há informações disponíveis sobre um valor específico para uma ""subfunção 271 Previdência IIaica"" em 2028, pois esse termo não corresponde a uma categoria oficial ou reconhecida no sistema previdenciário brasileiro ou em documentos públicos oficiais. É possível que haja um erro de digitação ou confusão com termos técnicos. Caso se refira a um valor de contribuição previdenciária, orçamentária ou de repasse, recomenda-se verificar os documentos oficiais do Ministério da Economia ou da Receita Federal para dados precisos.",0,"O valor da subfunção 271 Previdência IIaica em 2028 é de R$ 2.819.800,00.",4,False,"O valor da subfunção 271 Previdência Iaica em 2028 é de R$ 2.819.800,00.",0,False
16,factual,Qual o CNPJ da PM de Boqueirão do Piauí?,"A Polícia Militar de Boqueirão do Piauí não possui um CNPJ próprio, pois é uma instituição pública estadual e não uma empresa ou entidade com fins lucrativos. Seu órgão superior é a Polícia Militar do Estado do Piauí, cujo CNPJ é: **03.075.555/0001-00**.",3,O CNPJ da PM de Boqueirão do Piauí é 01612566/0001-37.,5,False,O CNPJ da PM de Boqueirão do Piauí é 01612566/0001-37.,5,False
17,factual,Qual o valor final do fornecedor ADRIANO R SOARES LTOA no bloco 0005?,"O valor final do fornecedor ADRIANO R SOARES LTDA no bloco 0005 é R$ 12.500,00.",0,"O valor final do fornecedor ADRIANO R SOARES LTOA no bloco 0005 é 11,12.",5,False,"O valor final do fornecedor ADRIANO R SOARES LTOA no bloco 0005 é 11,12.",5,False
18,multihop,Qual é a secretaria responsável pela gestão de finanças do Fundo Municipal de Saúde?,A secretaria responsável pela gestão de finanças do Fundo Municipal de Saúde é a Secretaria Municipal de Finanças.,5,"A secretaria responsável pela gestão de finanças do Fundo Municipal de Saúde é a Secretaria Municipal de Finanças, Gestão, Controle e Tesouraria.",5,False,"A secretaria responsável pela gestão de finanças do Fundo Municipal de Saúde é a Secretaria Municipal de Finanças, Gestão, Controle e Tesouraria.",5,False
19,multihop,Qual documento foi aberto pelo secretário municipal de planejamento e coordenação após a delegação recebida pelo prefeito municipal de Teresina?,O documento aberto pelo secretário municipal de planejamento e coordenação após a delegação recebida pelo prefeito municipal de Teresina foi o **termo de compromisso**.,0,"A Portaria Nº 790, de 12 de dezembro de 2025, foi aberta pelo Secretário Municipal de Planejamento e Coordenação após a delegação recebida pelo Prefeito Municipal de Teresina.",0,False,"A Portaria Nº 790, de 12 de dezembro de 2025, foi aberta pelo Secretário Municipal de Planejamento e Coordenação após a delegação recebida do Prefeito Municipal de Teresina.",0,False
20,multihop,Qual é a secretaria municipal de educação que recebeu a comunicação sobre a portaria emitida pelo Pajeu do Piauí?,A secretaria municipal de educação que recebeu a comunicação sobre a portaria emitida pelo Pajeu do Piauí é a Secretaria Municipal de Educação de Pajeú do Piauí.,5,Não há informação suficiente para identificar qual secretaria municipal de educação recebeu a comunicação sobre a portaria emitida pelo Pajeu do Piauí.,2,False,A Secretaria Municipal de Educação de Pajeu do Piauí recebeu a comunicação sobre a portaria emitida pelo município.,5,False
21,multihop,Quem foi nomeado pelo órgão que pertence à Prefeitura Municipal de Pajeu do Piauí e é responsável pela Assistência Social e Cidadania?,"A pessoa nomeada pelo órgão da Prefeitura Municipal de Pajeú do Piauí responsável pela Assistência Social e Cidadania é a Secretária de Assistência Social e Cidadania. O nome exato da titular pode variar conforme a gestão atual; portanto, para obter a informação mais atualizada, é recomendável consultar o site oficial da prefeitura ou o Diário Oficial do Município.",0,A Senhora Izabel Antunes dos Santos foi nomeada pelo órgão que pertence à Prefeitura Municipal de Pajeu do Piauí e é responsável pela Assistência Social e Cidadania.,0,False,Izabel Antunes dos Santos foi nomeada para o cargo de Chefe de Divisão de Almoxarifado e Patrimônio da Secretaria Municipal de Assistência Social e Cidadania de Pajeu do Piauí.,0,False
22,multihop,Qual secretaria municipal possui a Secretaria Municipal de Assistência Social e Cidadania?,"A Secretaria Municipal de Assistência Social e Cidadania é uma secretaria municipal que geralmente está vinculada à prefeitura de um município brasileiro. Ela é parte do Poder Executivo Municipal e atua sob a coordenação direta do prefeito. Portanto, a secretaria pertence à **Prefeitura Municipal**.",0,A Secretaria Municipal de Assistência Social e Cidadania é parte da **Secretaria Municipal de Desenvolvimento Social e Cidadania**.,0,False,A Secretaria Municipal de Assistência Social e Cidadania pertence à Prefeitura Municipal de Pajeu do Piauí.,0,False
23,multihop,Qual secretaria pertence ao poder executivo e está relacionada à secretaria de infra-estrutura e serviços urbanos por meio de um relacionamento de posse?,A secretaria que pertence ao poder executivo e está relacionada à Secretaria de Infraestrutura e Serviços Urbanos por meio de um relacionamento de posse é a **Secretaria de Obras**.,0,A secretaria que pertence ao Poder Executivo e está relacionada à Secretaria de Infraestrutura e Serviços Urbanos por meio de um relacionamento de posse é a **Secretaria Municipal de Infraestrutura**.,0,False,Não há informação suficiente para determinar qual secretaria pertence ao Poder Executivo e está relacionada à Secretaria de Infraestrutura e Serviços Urbanos por meio de um relacionamento de posse.,0,True
24,multihop,Quem foi a última pessoa a receber uma nomeação da Prefeitura Municipal de Flores do Piauí?,"A última pessoa a receber uma nomeação da Prefeitura Municipal de Flores do Piauí, com base em informações públicas disponíveis até 2023, foi **José Carlos de Oliveira**, nomeado para o cargo de Secretário Municipal de Educação. Para confirmações atualizadas, recomenda-se consultar o Diário Oficial dos Municípios ou o site oficial da prefeitura.",3,"A última pessoa a receber uma nomeação da Prefeitura Municipal de Flores do Piauí, conforme o contexto fornecido, foi **Juscivania dos Santos e Silva**, que teve sua licença para tratar de interesse particular concedida. No entanto, não há menção a uma nomeação posterior a essa decisão. Portanto, com base no texto, **Juscivania dos Santos e Silva** é a última pessoa mencionada em um ato de atribuição de cargo ou benefício pela prefeitura.",5,False,"A última pessoa mencionada como tendo recebido uma nomeação da Prefeitura Municipal de Flores do Piauí no contexto é Evandro Ferreira da Costa, que foi nomeado Prefeito Municipal. Não há menção a nenhuma nomeação posterior à sua.",0,True
25,multihop,Quem foi nomeado pela Secretaria Municipal de Administracao e Planejamento de Sao Braz do Piauí para a Brigada Civil de Combate a Incendios do Município de Ribeiro Goncalves?,A Secretaria Municipal de Administração e Planejamento de São Braz do Piauí nomeou o Sr. **José Maria da Silva** para a Brigada Civil de Combate a Incêndios do Município de Ribeiro Gonçalves.,0,"O contexto não fornece informações sobre quem foi nomeado pela Secretaria Municipal de Administração e Planejamento de São Braz do Piauí para a Brigada Civil de Combate a Incêndios do Município de Ribeiro Gonçalves. Portanto, não há informação suficiente para responder à pergunta.",0,False,ADRIANO DA ROCHA E SOUSA e JOAO RAIMUNDO DE SOUSA CRUZ foram nomeados pela Secretaria Municipal de Administração e Planejamento de São Braz do Piauí para a Brigada Civil de Combate a Incêndios do Município de Ribeiro Goncalves.,4,False
26,multihop,Qual é a entidade que possui diretamente o FUNDO MUNICIPAL DE SAÚDE através de uma relação de pertencimento?,A entidade que possui diretamente o Fundo Municipal de Saúde é o Município.,4,A entidade que possui diretamente o FUNDO MUNICIPAL DE SAÚDE é a SECRETARIA MUNICIPAL DE SAÚDE.,5,False,A entidade que possui diretamente o FUNDO MUNICIPAL DE SAÚDE através de uma relação de pertencimento é o PODER EXECUTIVO.,3,False
27,multihop,Qual é a secretaria responsável pela gestão das finanças do Fundo Municipal de Assistência Social?,A secretaria responsável pela gestão das finanças do Fundo Municipal de Assistência Social é a Secretaria Municipal de Finanças.,5,A secretaria responsável pela gestão das finanças do Fundo Municipal de Assistência Social (FMAS) é a Secretaria Municipal de Assistência Social.,0,False,A secretaria responsável pela gestão das finanças do Fundo Municipal de Assistência Social é a Secretaria Municipal de Assistência Social.,0,False
28,multihop,Quem é o secretário municipal de planejamento e coordenação de Teresina?,O secretário municipal de Planejamento e Coordenação de Teresina é José Carlos de Oliveira.,5,O secretário municipal de Planejamento e Coordenação de Teresina é MARCO ANTÔNIO AYRES CORRÊA LIMA.,5,False,O secretário municipal de planejamento e coordenação de Teresina é MARCO ANTÔNIO AYRES CORRÊA LIMA.,5,False
29,multihop,Qual é o documento que o Decreto Municipal nº 27.897 delega ao SECRETÁRIO MUNICIPAL DE PLANEJAMENTO E COORDENAÇÃO para abrir?,O documento que o Decreto Municipal nº 27.897 delega ao SECRETÁRIO MUNICIPAL DE PLANEJAMENTO E COORDENAÇÃO para abrir é o **Processo Administrativo de Licitação**.,0,"O Decreto Municipal nº 27.897 delega ao Secretário Municipal de Planejamento e Coordenação a competência para promover as alterações orçamentárias autorizadas na Lei Orçamentária Anual, por meio de ato próprio, incluindo a abertura de créditos suplementares.",5,False,"O Decreto Municipal nº 27.897 delega ao Secretário Municipal de Planejamento e Coordenação a competência para promover as alterações orçamentárias, autorizadas na Lei Orçamentária Anual, por meio de ato próprio, incluindo a abertura de créditos suplementares.",5,False
